date,mich,dri_yoy_pct,gap_pp,gap_z,partisan_flag
2013-06-30,3.0,3.5869819013685467,-0.5869819013685467,-0.5017063720746314,0
2013-07-31,3.1,4.448014344555773,-1.3480143445557728,-0.661484740196745,0
2013-08-31,3.0,2.219182905416095,0.780817094583905,-0.2456089062941466,0
2013-09-30,3.3,1.7274204550964178,1.572579544903582,-0.09769523491186553,0
2013-10-31,3.0,1.2848617617281066,1.7151382382718934,-0.06899529368561994,0
2013-11-30,2.9,2.2758887690077723,0.6241112309922277,-0.2676528626279461,0
2013-12-31,3.0,3.359074811042806,-0.3590748110428059,-0.4428643967791054,0
2014-01-31,3.1,3.746967875565388,-0.6469678755653878,-0.4770724484714399,0
2014-02-28,3.2,2.0824583353064474,1.1175416646935528,-0.06880410148160167,0
2014-03-31,3.2,3.246526924393911,-0.04652692439391082,-0.2962905948399722,0
2014-04-30,3.2,4.779091780511058,-1.5790917805110576,-0.6300632563543264,0
2014-05-31,3.3,3.999620195707121,-0.6996201957071211,-0.38974047759716307,0
2014-06-30,3.1,3.2778407496357076,-0.1778407496357075,-0.2146867684335451,0
2014-07-31,3.3,2.5428041678288382,0.7571958321711616,0.13774171274646277,0
2014-08-31,3.2,2.334595865249267,0.8654041347507331,0.26134712318676967,0
2014-09-30,3.0,2.2479130488771704,0.7520869511228296,0.3279458372408909,0
2014-10-31,2.9,2.1539688870341855,0.7460311129658144,0.4182553123872511,0
2014-11-30,2.8,1.1603592849592337,1.6396407150407661,0.8451435008502654,0
2014-12-31,2.8,-1.143630426625819,3.943630426625819,1.9048531559530428,1
2015-01-31,2.5,-4.292275730116746,6.792275730116746,3.0757203149916825,1
2015-02-28,2.8,-4.165571427638659,6.965571427638658,2.9348936138295643,1
2015-03-31,3.0,-4.122397935132572,7.122397935132572,2.834678580950031,1
2015-04-30,2.6,-5.057332128616066,7.657332128616066,2.8545221486597683,1
2015-05-31,2.8,-3.5229707451151726,6.322970745115173,2.1702821769541463,1
2015-06-30,2.7,-0.9817488819001574,3.6817488819001576,1.0791629147792026,1
2015-07-31,2.8,-0.20927932381961112,3.009279323819611,0.792107581615163,0
2015-08-31,2.8,0.2679414488356624,2.5320585511643374,0.5963425570449044,0
2015-09-30,2.8,-0.9325217334271163,3.732521733427116,1.040545101439663,1
2015-10-31,2.7,-0.9035350918472629,3.603535091847263,0.9682166561820782,0
2015-11-30,2.7,-0.6384706744966384,3.3384706744966386,0.8489525898540139,0
2015-12-31,2.6,0.5347522693087914,2.0652477306912087,0.34651598652844545,0
2016-01-31,2.5,1.805559951495428,0.6944400485045721,-0.18172275595559642,0
2016-02-29,2.5,-0.012548398438694264,2.5125483984386943,0.5060976595788061,0
2016-03-31,2.7,-0.977197499330984,3.677197499330984,0.9264846212537702,0
2016-04-30,2.8,-0.8285165593523658,3.6285165593523656,0.8777883710532383,0
2016-05-31,2.4,-1.7238100930145772,4.123810093014577,1.039872786172702,1
2016-06-30,2.6,-4.20549024957908,6.80549024957908,2.010638577166507,1
2016-07-31,2.7,-5.074771134485012,7.774771134485012,2.2892106934112095,1
2016-08-31,2.5,-5.654396814976581,8.15439681497658,2.331547043410582,1
2016-09-30,2.4,-4.0228996965736785,6.422899696573678,1.6396748065166327,1
2016-10-31,2.4,-3.213175731080342,5.613175731080342,1.2972402269423127,1
2016-11-30,2.4,-2.368644782063889,4.768644782063889,0.9339276236010373,0
2016-12-31,2.2,-0.9435353067279606,3.1435353067279608,0.2660442363318974,0
2017-01-31,2.6,2.2106650165902852,0.38933498340971484,-0.8438182110222913,0
2017-02-28,2.7,3.0410414754281856,-0.3410414754281854,-1.1299307113839712,1
2017-03-31,2.5,2.803596841866307,-0.3035968418663071,-1.0921994680651452,1
2017-04-30,2.5,3.3807639174105786,-0.8807639174105786,-1.2859946912164453,1
2017-05-31,2.6,3.017159513631351,-0.41715951363135106,-1.0710401076030407,1
2017-06-30,2.6,2.8442143671336906,-0.2442143671336905,-0.9759438094359094,0
2017-07-31,2.6,3.3600305047929657,-0.7600305047929656,-1.1383443225970642,1
2017-08-31,2.6,4.651945198841512,-2.0519451988415116,-1.5748406370265775,1
2017-09-30,2.7,5.895619370023342,-3.1956193700233415,-1.9150988943258025,1
2017-10-31,2.4,5.898244748410719,-3.4982447484107193,-1.9490932784949926,1
2017-11-30,2.5,6.413526932724167,-3.9135269327241673,-1.9970132719904208,1
2017-12-31,2.7,5.894335344239288,-3.1943353442392874,-1.6859116806445675,1
2018-01-31,2.7,4.714913454310254,-2.0149134543102543,-1.2537766071509686,1
2018-02-28,2.7,5.449069113915206,-2.7490691139152057,-1.4500170694716108,1
2018-03-31,2.8,5.523232938537026,-2.723232938537026,-1.3937170489658866,1
2018-04-30,2.7,6.447017172579339,-3.747017172579339,-1.6452105693081926,1
2018-05-31,2.8,7.2401431850910525,-4.440143185091053,-1.7810599026306153,1
2018-06-30,3.0,6.993835659585423,-3.9938356595854234,-1.598888843328373,1
2018-07-31,2.9,7.581216665374124,-4.681216665374125,-1.7476882632885595,1
2018-08-31,3.0,6.562891130490711,-3.562891130490711,-1.3810440291812651,1
2018-09-30,2.7,4.993275132372488,-2.2932751323724876,-0.9937210767747365,0
2018-10-31,2.9,5.37031913810877,-2.47031913810877,-1.0149546087622374,1
2018-11-30,2.8,3.7071089886512754,-0.9071089886512755,-0.5700896414150143,0
2018-12-31,2.7,1.664035077125492,1.0359649228745083,-0.035766320798727096,0
2019-01-31,2.7,0.2779116203690535,2.4220883796309467,0.3367862960333154,0
2019-02-28,2.6,0.25722544273192316,2.342774557268077,0.3086981672111461,0
2019-03-31,2.5,0.9595335147212225,1.5404664852787775,0.07765853259076506,0
2019-04-30,2.5,0.5072532165023569,1.9927467834976431,0.1882689473352566,0
2019-05-31,2.9,-0.4865753564561648,3.3865753564561647,0.5603193322101094,0
2019-06-30,2.7,-1.279553533291966,3.9795535332919663,0.7054197193368261,0
2019-07-31,2.6,-1.8026183454418643,4.402618345441864,0.8026017270149551,0
2019-08-31,2.7,-2.2705738878001536,4.970573887800153,0.9348335044781656,0
2019-09-30,2.8,-2.042408255892869,4.8424082558928685,0.875137587191943,0
2019-10-31,2.5,-2.2716784740101748,4.771678474010175,0.8327085256210868,0
2019-11-30,2.5,-0.8099247858217473,3.3099247858217473,0.42509582275256763,0
2019-12-31,2.3,0.7977758893547016,1.5022241106452983,-0.057069371558452306,0
2020-01-31,2.5,13.589442583046685,-11.089442583046685,-3.164656611833564,1
2020-02-29,2.4,12.53647179300108,-10.13647179300108,-2.7111142233583565,1
2020-03-31,2.2,10.398473916960693,-8.198473916960694,-2.1343859908643474,1
2020-04-30,2.1,8.116950968857495,-6.016950968857495,-1.568688277531417,1
2020-05-31,3.2,6.843903512855443,-3.6439035128554425,-0.9779007428087511,0
2020-06-30,3.0,10.103266848706083,-7.103266848706083,-1.719168909648058,1
2020-07-31,3.0,10.60781462450997,-7.60781462450997,-1.753059886827086,1
2020-08-31,3.1,11.465810278007083,-8.365810278007084,-1.833138666611857,1
2020-09-30,2.6,11.172853219683088,-8.572853219683088,-1.7929081152995487,1
2020-10-31,2.6,11.261900277714432,-8.661900277714432,-1.732123230191924,1
2020-11-30,2.8,11.131042813579395,-8.331042813579394,-1.5940809464560972,1
2020-12-31,2.5,12.073392051876919,-9.573392051876919,-1.7674996955391173,1
2021-01-31,3.0,1.0971515544218935,1.9028484455781065,0.5548033928934211,0
2021-02-28,3.3,3.161889199872059,0.13811080012794097,0.20631395733077848,0
2021-03-31,3.1,6.139795000613191,-3.0397950006131906,-0.41906240709170695,0
2021-04-30,3.4,8.631582820277405,-5.231582820277405,-0.8382035416801163,0
2021-05-31,4.6,11.70691016453036,-7.10691016453036,-1.1813278603606412,1
2021-06-30,4.2,11.612383429104046,-7.412383429104046,-1.209257549835397,1
2021-07-31,4.7,12.232578503182356,-7.532578503182356,-1.205802118614741,1
2021-08-31,4.6,13.025407059187867,-8.425407059187867,-1.3673058983230693,1
2021-09-30,4.6,14.215825211603805,-9.615825211603806,-1.57926633543625,1
2021-10-31,4.8,15.226206567633094,-10.426206567633095,-1.6993701620927413,1
2021-11-30,4.9,16.03082711805721,-11.13082711805721,-1.7855630613860611,1
2021-12-31,4.8,15.434176615671946,-10.634176615671947,-1.6151285451564414,1
2022-01-31,4.9,15.635814332416054,-10.735814332416053,-1.5705288348741535,1
2022-02-28,4.9,16.79798925049525,-11.897989250495248,-1.7347395605259792,1
2022-03-31,5.4,19.117663516029282,-13.717663516029281,-1.9995570303232368,1
2022-04-30,5.4,19.919201615097705,-14.519201615097705,-2.0426919209832493,1
2022-05-31,5.3,21.23085433818559,-15.93085433818559,-2.179605301292567,1
2022-06-30,5.3,22.051234370624485,-16.751234370624484,-2.1945746381510114,1
2022-07-31,5.2,20.776977780779028,-15.576977780779028,-1.8870599513810544,1
2022-08-31,4.8,19.372948819459126,-14.572948819459125,-1.6398278652986895,1
2022-09-30,4.7,18.074353898438567,-13.374353898438567,-1.3845239985292155,1
2022-10-31,5.0,19.730104580495777,-14.730104580495777,-1.5482657136330333,1
2022-11-30,5.0,18.514686278013315,-13.514686278013315,-1.303582734487785,1
2022-12-31,4.3,17.32452448569013,-13.02452448569013,-1.1845740069446136,1
2023-01-31,3.9,17.409732357007513,-13.509732357007513,-1.2191769190388708,1
2023-02-28,4.2,13.551658099432217,-9.351658099432218,-0.5428778383639308,0
2023-03-31,3.6,8.05961252946692,-4.45961252946692,0.23655854018085135,0
